"platform","category","evidence_status","primary_use_case","public_pricing_2026","web_mobile_model","branded_app_model","visual_customization_ceiling","information_architecture_customization","api_webhooks_sdk_headless","ai_mcp_agent_integration","data_export_and_ownership","developer_account_ownership","monetization_and_fees","migration_risk","maturity","best_fit_100k_creator","verdict","primary_source_urls","last_verified"
"NIX Platform","White-label app-first community","verified_live_emerging","Branded mobile community with forums, courses, events, marketplace, support tickets, payments, and loyalty","Basic $200/mo billed annually ($2,400/year); Professional $350/mo billed annually ($4,200/year); Enterprise custom; branded iOS/Android apps included","Custom-domain web experience plus managed branded iOS and Android apps; NIX Community is the live demonstration app","Managed own-brand app; vendor handles submission, while developer-account, bundle-ID, signing, and listing-transfer ownership are not public","Managed no-code white-label app","Modular membership, forums, support tickets, marketplace, events, courses, loyalty, payments, and analytics; public plan table conflicts on which modules Basic receives","API on Professional and Enterprise; custom integrations and optional source-code access on Enterprise; no public API docs, webhooks, SDK, or headless evidence found","Native smart moderation, content recommendations, and automated insights are claimed; no official MCP found","No public full-export documentation found; optional Enterprise source-code access does not establish database, media, subscription, or store-listing portability","Vendor handles app submission; customer developer-account and transfer rights require contract","Professional includes payments, subscriptions, marketplace, and multi-layer commissions; platform and processor fee schedules are not public","Very high — young product, internal pricing-page inconsistencies, undocumented exports/APIs, and unclear mobile ownership","Emerging; demonstration app launched in August 2025 and has too few App Store ratings for an overview","Not suitable for a 100K-follower production launch until comparable references, load tests, security evidence, privacy review, and an exit drill succeed","WATCH ONLY","https://nixapp.io/ | https://nixapp.io/nixstartup | https://apps.apple.com/us/app/nix-community/id6749888348","2026-07-27"
"EzyCommunity","Learning and community suite","watchlist_new_launch","Creator communities, courses, events, live sessions, commerce, and white-label community-SaaS resale","Pro $87/mo annually; Business $197/mo annually; branded app add-on $199 monthly, $149/mo annually, or $3,490 one-time; SaaS Partner $599 one-time entry then $599/mo or $499/mo annually after first sale","Responsive web and shared mobile experience; paid fully branded iOS/Android app add-on","Official branded-app page says apps publish under the customer's developer account; vendor manages design, deployment, updates, and store submission","Managed white-label community and site builder","Channels, feed, courses, library, events, live meetings/streams, group/private chat, paywalls, website builder, memberships, and gamification; vendor component system remains fixed","Business claims Member API access and integrations; no public endpoint docs, webhooks, SDK, or headless product found","EzyAI, email campaigns, and automation are explicitly marked coming soon; no official MCP found","Vendor claims the creator owns members and data and offers inbound migration; no documented complete outbound export for community history, DMs, files, courses, payments, or app continuity","Customer developer account is stated for the paid white-label app","0% platform transaction fee; standard Stripe or other processor fees apply","Very high — product is newly launched, pricing and launch-state materials conflict, lifetime offers increase continuity exposure, and full exit evidence is absent","New launch/watchlist; official product announcement is dated 29 June 2026 and other official material still describes pre-launch","Sandbox only; do not prepay or move a 100K audience before references, load tests, security review, export proof, and service-continuity protections","WATCH ONLY","https://ezycommunity.com/ | https://ezycommunity.com/pricing | https://ezycommunity.com/blog/ezycommunity | https://www.ezycommunity.com/white-label-mobile-app","2026-07-27"
"PrivateHive","White-label coaching community","watchlist_claimed_live","Coaching businesses combining courses, community groups, chat, events, client management, progress, and payments","Starter $99/mo for up to 300 members; Growth $199/mo for up to 1,000; Pro $399/mo for unlimited members and full white-label apps","Web plus minimally PrivateHive-branded iOS/Android experience on Starter and Growth; Pro claims own-brand App Store and Play Store apps and custom-domain web","Managed Pro white-label apps; customer developer-account, bundle-ID, source, signing, and listing-transfer ownership are not public","Claimed managed custom work","Courses, content library, groups, chat, drip campaigns, events, user management, progress, analytics, and payments; Pro claims changes to almost anything for extra cost without a documented extension model","Pro lists custom integrations; no public API, webhook, SDK, or headless documentation found","Native AI content search and AI avatar assistant are claimed; no official MCP found","Vendor claims isolated environments and customer control but publishes no complete data-export or exit documentation","Not disclosed for claimed Pro store apps","Payments are included, but platform fees, processor fees, subscription mechanics, and app-store purchase handling are not public","Very high — extremely small visible footprint, undocumented developer and export surfaces, unclear store ownership, and unproven scale","Unproven/watchlist; Android product appeared in 2026 and public customer proof is minimal","Not appropriate for a 100K-follower launch; at most a disposable small-cohort technical test after security and ownership diligence","WATCH ONLY","https://privatehive.app/ | https://play.google.com/store/apps/details?id=com.privatehive","2026-07-27"
"YouToo","Event-first community app","verified_live_niche","Groups, discussions, announcements, events, RSVP, ticketing, donations, recurring programs, and member messaging","Free $0 forever; Community $35 per group/month with a two-month trial; Custom app and features quote-based; nonprofits save 15%","Web plus shared YouToo member apps; Custom plan offers branded iOS/Android store apps","Vendor says it publishes custom apps with the organization's branding; developer-account, bundle-ID, signing, and listing-transfer ownership are not public","Managed white-label app with quoted custom features","Groups and subgroups, posts, discussions, events, roles, DMs, broadcasts, Zoom, ticketing, donations, email, in-app, and push notifications; vendor UI remains fixed","No public API, webhooks, SDK, or headless product found","No official MCP or material native AI product found","No public export documentation found for members, posts, chats, events, payments, files, or media","Vendor publishes the apps; account and asset ownership are not disclosed","Ticketing and donations are supported; platform and payment-processing fee terms are not public","High — no developer surface, no documented exports, and unclear custom-app ownership","Live niche product since 2021; small public review footprint and current website staging links and placeholder copy raise quality concerns","Potential fit for a small event-led nonprofit or club; not credible as the core platform for a 100K-follower premium creator business","CONDITIONAL — event-first niche, reject for 100K core","https://www.youtooapp.com/pricing/ | https://www.youtooapp.com/custom-app/ | https://www.youtooapp.com/features/ | https://apps.apple.com/us/app/youtoo-groups-events/id1549637429","2026-07-27"
"Podia","Learning and business suite","verified_live","Courses, downloads, coaching, webinars, email, and a single built-in customer community","Mover $42/mo billed annually with 5% transaction fee and 25 community spaces; Shaker $84/mo annually with 0% fee and 100 spaces; Earthquaker $150/mo annually with 0% fee and unlimited spaces","Responsive branded website and member area; no public native mobile app product found","No creator-branded App Store or Google Play app found","Managed branded web","One community per Podia account, segmented with free or paid community plans and spaces alongside products and email","No public API, webhook, SDK, headless, or MCP product found in reviewed official materials","Native email and business automations; no official MCP or public agent surface found","Customer and audience exports are available, but require a demonstrated export of community posts, comments, memberships, media, and relationships before migration","Not applicable; no native-store app model found","0% Podia transaction fee on Shaker and Earthquaker; 5% on Mover; payment-processor fees remain","Medium-high — commerce contacts are portable, while full community-history portability is not publicly documented","Established creator suite","Useful when community supports a course and email business; not the strongest choice when community product depth or a native app is central","CONDITIONAL — simple all-in-one business, limited community ceiling","https://www.podia.com/pricing/ | https://help.podia.com/en/articles/11370442-community-feature-faqs | https://help.podia.com/en/articles/11131317-can-i-create-multiple-communities","2026-07-28"
"UUKI","Hosted creator community","verified_live","Paid communities, courses, cohorts, events, discussions, and member directories","Starter $19/mo plus 8% transaction fee; Pro $79/mo plus 5%; Advance $259/mo plus 1%; annual-equivalent subscriptions shown as $15/$65/$205","Responsive web plus shared mobile app; white-label mobile apps on Advance","Advance includes white-label iOS and Android apps; developer-account, bundle-ID, signing, and transfer ownership require written confirmation","Managed branded community with CSS on Pro and higher","Spaces, courses, events, gamification, directories, cohorts, payments, SSO and configurable branding within vendor components","Pro lists API, webhooks, integrations, custom CSS and SSO; public endpoint and quota detail should be confirmed","No official MCP found; API and webhooks make a custom agent layer possible, subject to endpoint coverage","Bulk import/export is listed; verify a complete sample export, media coverage, relationship coverage, and deletion procedure","Not publicly documented for the white-label apps","Subscription plus payment processing and plan-specific platform fees of 8% Starter, 5% Pro, and 1% Advance; confirm app-store purchase policy","Medium-high — useful developer hooks, but full export and mobile-listing continuity are not publicly proven","Established smaller creator platform","Credible value option for a paid learning community; require scale references, security review, and an app-ownership schedule before a 100K launch","CONDITIONAL SHORTLIST — capable value tier, diligence required","https://www.uuki.live/pricing","2026-07-28"
"Pensil","Learning and community suite","verified_live","Courses, cohorts, memberships, events, discussions, live sessions, and knowledge libraries","Basic $79/mo plus 7.5% payment-gateway fee; Pro $189/mo plus 3%; Business $339/mo plus 0%; white-label mobile app is a $99/mo add-on on Pro or included on Business","Responsive community web plus shared mobile app; paid branded-app path","Branded app add-on on Pro or included on Business; developer-account, bundle-ID, signing, source, and listing-transfer ownership are not public","Managed branded learning community","Courses, cohorts, groups, events, live sessions, resources, member management, payments, custom pages, and role controls within vendor primitives","Zapier is listed; no mature public API, webhook, SDK, headless, or MCP documentation found","No official MCP or documented production agent surface found","Bulk import/export is listed on higher tiers; require full content, activity, media, payment, and relationship export evidence","Not publicly documented for the branded app","Subscription plus payment processing and plan-specific payment-gateway fees of 7.5% Basic, 3% Pro, and 0% Business","High — branded-app and full data-exit ownership are insufficiently documented","Established regional learning-community product","Potential fit for course-led communities after references and export testing; not the default for a premium 100K-audience launch","CONDITIONAL — learning-rich, ownership proof incomplete","https://www.pensil.so/pricing","2026-07-28"
"Locals.com","Subscription creator community","verified_live","Paid creator memberships, video, livestreams, posts, messaging, supporter subscriptions, tips, and one-time content","No monthly software subscription found; Locals charges 10% on subscriptions, tips, and most one-time transactions and 20% on Content+; processor and store fees also apply","Branded creator page on web plus shared Locals iOS and Android apps","No standard creator-owned white-label App Store or Google Play listing found","Managed creator network and storefront","Creator-defined feed, memberships, posts, video, livestreams, messaging, supporter benefits, one-time content, and analytics within the Locals interface","Terms prohibit automated software without prior written permission; no public general API, webhooks, SDK, headless, or MCP product found","No official MCP or public agent surface found","Terms allow relevant community-member data to be shared with and retained by the creator under the DPA; no documented complete export for posts, video, comments, DMs, or community graph","Not applicable; members use the shared Locals apps","10% platform fee on subscriptions, tips, and most one-time sales; 20% on Content+; US card processing is listed as 2.9% + $0.30 and app-store or TV-store transactions can add 15–30%","High — shared product identity, automation restrictions, and undocumented complete community export create material lock-in","Established Rumble-owned creator subscription network","Useful for personality-led paid fandom and video; weak fit when the creator wants a differentiated school, owned app, or extensible product","CONDITIONAL — fan subscription network, low customization ceiling","https://locals.com/ | https://locals.com/site/terms | https://support.locals.com/en/article/how-much-does-locals-charge-u7tcux/","2026-07-28"
"Mateflow","AI-native hosted community","verified_live_emerging","AI-assisted memberships, courses, community, automations, and creator commerce","Starter $49/mo plus 3% platform fee; Growth $129/mo plus 2%; Business $399/mo plus 1%","Custom-domain responsive web; native iOS and Android apps are marked coming soon","White-label web on Business; branded native apps are announced as coming soon rather than available","Managed branded web with CSS on Growth and higher","Memberships, courses, spaces, community, checkout, automations, analytics and AI copilot within vendor-defined structure","Growth lists API, webhooks and custom CSS; Business adds SSO and audit logs; public endpoint documentation and limits should be confirmed","Native AI copilot plus API/webhook route for custom agents; no official MCP found","The public site offers inbound migration but does not document a complete outbound export, database portability, or payment-account ownership; require an export and deletion demonstration","Not applicable while native-store apps remain forthcoming","Stripe billing and payouts are supported; exact processor-account ownership, reserve, payout, and migration terms require written confirmation alongside plan-specific platform fees","High — developer hooks are promising, but the young platform, undocumented outbound exit, unconfirmed payment ownership, and forthcoming native apps require proof","Emerging","Worth a disposable cohort test for an AI-assisted all-in-one workflow; insufficient evidence for the primary 100K-audience system","WATCH/PILOT — promising AI-native web product","https://mateflow.com/","2026-07-28"
"Aqyl","Custom-build infrastructure","watchlist_public_beta","Self-hosted community infrastructure and social primitives for web and native custom products","Public beta is free up to 1,000 monthly active users; Growth is advertised at $299/mo up to 100,000 MAU; Enterprise is custom","Customer-built web, React Native, iOS, Android, and Flutter interfaces against a self-hosted Aqyl deployment","Customer owns the surrounding app binaries, interfaces, developer accounts, and listings; Aqyl server and source-license scope require written verification","Self-hosted extensible infrastructure; source-code license scope unverified","Team defines the complete information architecture and product; Aqyl supplies vendor-claimed community backend primitives and SDKs","Web, iOS, Android, React Native, and Flutter SDKs plus REST API, WebSocket, and webhooks are claimed; validate beta docs and production limits","No official MCP found; documented APIs could be wrapped behind a stable MCP and governed agent gateway","Vendor claims customer-hosted data sovereignty; validate database access, schema and code licenses, backup/restore, upgrades, observability, and exit rights","Customer owns accounts and listings for the surrounding custom apps","Infrastructure subscription plus cloud, engineering, security, moderation, support, payments, and app-store operations","Very high — public-beta infrastructure transfers core reliability and security duties while license, production proof, and upgrade mechanics remain unverified","Public beta","Architecturally interesting only after proprietary behavior earns a custom build and an experienced product team can operate the full stack","WATCH ONLY — beta infrastructure, not a launch platform","https://aqyl.io/","2026-07-28"
"CommunityXO","White-label community platform","watchlist_waitlist","Public communities, private networks, monetization, events, learning, jobs, and enterprise white-label experiences","Free public plan is advertised; custom white-label and Enterprise pricing are quote-based","Vendor claims web and mobile community experiences with custom white-label options","Custom white-label is claimed; app-store account, source, signing, bundle-ID, and transfer ownership are not documented","Claimed managed white-label product","Feeds, groups, messaging, events, learning, jobs, monetization and enterprise configuration are claimed within vendor architecture","Enterprise claims custom API and on-premises deployment; no public API docs, webhooks, SDK, or headless evidence found","AI positioning is present, but no official MCP or production agent documentation found","On-premises and custom API claims may improve control; no public full-export, backup, deletion, or migration documentation found","Not publicly documented","Monetization is claimed; pricing, platform fees, processor terms, and store-payment handling are not public","Very high — waitlist state, undocumented APIs/exports, and unclear app ownership make production risk unacceptable","Waitlist/early-stage","Do not move a 100K audience; at most conduct a founder reference call and disposable sandbox after the product is demonstrably live","WATCH ONLY — claims exceed current public evidence","https://communityxo.com/","2026-07-28"
"ShaunSocial","Source-code community product","verified_live_source","Self-hosted social network, feed, groups, chat, notifications, moderation, and optional web/mobile source","Starter one-time $149 for web source; Ultimate one-time $559 for web/mobile license plus $400 for full mobile source; hosted Basic $49/mo and Premium $99/mo","Self-hosted responsive web with optional mobile apps and source","Ultimate supports customer-branded apps; vendor states customer app-store publication, while signing and transfer process should be contracted","Source-owned custom product","Team can modify source-level feed, profiles, groups, chat, moderation, pages and app experiences","REST API and source-level integration are available; validate code quality, documentation, release cadence, test coverage, and license scope","No official MCP found; REST and owned source can support a custom governed agent layer","Customer-hosted deployment can provide direct data control; validate schema, media storage, backups, migrations, telemetry, license, and vendor access","Customer app-store accounts are claimed; confirm bundle IDs, signing keys, repository delivery, and transfer rights","One-time license or hosted subscription plus infrastructure, engineering, security, moderation and app-store operations","Very high — low purchase price does not include production engineering, security assurance, scale proof, or durable maintenance","Live source-code product with limited enterprise proof","Only for a team deliberately accepting source ownership after a code, license, security, and load audit; not the easiest path for an influencer launch","CONDITIONAL CUSTOM BUILD — audit before touching production","https://www.shaunsocial.com/pricing/ | https://www.shaunsocial.com/apps/","2026-07-28"
"EZCLUB.APP","AI-assisted membership suite","watchlist_beta","Membership communities, events, bookings, chat, payments, content, and an AI assistant","Starter $67/mo, Pro $97/mo, and Enterprise $197/mo are advertised during beta; an optional 3% platform fee can apply to bookings","Custom-domain responsive web; demo and broader product surfaces remain in beta","No public native branded-app or app-store ownership model found","Claimed managed branded web","Memberships, chat, content, events, bookings, payments, admin tools and an AI assistant are claimed within vendor templates","No public API, webhook, SDK, headless, or MCP documentation found","AI assistant and bring-your-own OpenAI key are claimed; no official MCP or documented permission model found","No public complete export, backup, deletion, or migration documentation found","Not applicable; no native-store app model found","Subscription plus payment processing and an optional 3% platform fee on bookings; beta commercial terms require confirmation","Very high — beta status, limited demo evidence, and absent developer/export documentation","Beta","Do not use as the system of record for a 100K audience; observe and test only with synthetic or disposable data","WATCH ONLY — beta, insufficient production evidence","https://ezclub.app/","2026-07-28"
"Indigo","Managed community-as-a-service","verified_live_emerging","Outsourced community platform plus day-to-day community management for organizations and membership programs","Lite £399/mo for up to 100 members and 10 management hours; Standard £799/mo for up to 300 and 20 hours; Full £1,649/mo for up to 1,000 and full-time management; platform-only from £150/mo","Managed white-label web platform; native mobile-app model is not publicly documented","No public creator-owned App Store or Google Play listing model found","Managed white-label platform and service","Community spaces, member profiles, content, events, engagement and reporting configured and operated with Indigo's management service","Enterprise custom domain and SSO are offered; no public API, webhook, SDK, headless, or MCP documentation found","Human community operations are the differentiator; no official MCP or public agent surface found","Require contract terms for member/content export, operating playbooks, analytics history, media, backups, and service-transition assistance","Not applicable based on public materials","Platform subscription bundled with management hours; enterprise work is quote-based","High — both technology and operating knowledge can become vendor-dependent without an explicit transition package","Emerging managed service","Interesting when the creator wants a high-touch operator more than custom software; capacity and economics need a 100K-scale plan","CONDITIONAL — operator model, not a custom product answer","https://indigoconnect.io/","2026-07-28"
"Bonfire","AI-native hosted community","watchlist_claimed_live","Real-time chat, courses, gamification, modular creator communities, and agent-operated administration","Founding Owner is advertised at $150/mo or $1,200/year; future standard plans are advertised at Starter $49, Growth $149, Business $299, and Enterprise $599","Branded responsive web plus an installable white-label progressive web app; no native App Store or Google Play listing was found","White-label installable PWA with custom icon, domain, and push; not a native-store app","Managed white-label web and PWA with a vendor module system","Vendor claims 117 toggleable modules spanning chat, content, courses, events, gamification, commerce, CRM, moderation, and administration; validate the live module inventory and interaction quality","Five documented public v1 routes plus OpenAPI, webhooks, and a CLI; broader docs enumerate admin and internal routes, so stable external coverage, auth, quotas, and versioning require validation","Vendor-documented hosted MCP endpoint with a claimed 18 community-management tools; the authenticated tool list, permissions, approval behavior, and audit trail have not been independently tested","Admin data-sovereignty claims and GDPR export and deletion endpoints are documented; export scope, reconstructability, retention, and deletion behavior remain unproven","Not applicable for the PWA; no native-store assets are offered","Zero platform fees are advertised on Growth and higher; processor terms, merchant-of-record structure, reserves, refunds, and payout portability require confirmation","Very high — launch-stage product, aggressive and inaccurate competitor copy, broad unverified module, scale, and security claims, and no independent customer proof","Launch-stage and unproven","Technical sandbox only for the MCP and API thesis; do not expose a real audience until customer references, security and load evidence, an authenticated permission test, and a complete export drill pass","WATCH ONLY — unusually broad claimed agent surface, insufficient credibility and production proof","https://onbonfire.com/ | https://onbonfire.com/docs/api | https://onbonfire.com/pricing","2026-07-28"
